Keywords,Definitions
Activate,v. (-ting) 1 make active. 2 chem. Cause reaction in. 3 make radioactive.
Active,"adj. 1 marked by action; energetic; diligent (an active life). 2 working, operative (active volcano). 3 not merely passive or inert; positive (active support; active ingredients). 4 radioactive. 5 gram. Designating the form of a verb whose subject performs the action (e.g. Saw in he saw a film). n. Gram. Active form or voice of a verb."
Active service,n. Military service in wartime.
Activism,"n. Policy of vigorous action, esp. For a political cause."
Activity,n. (pl. -ies) 1 being active; busy or energetic action. 2 (often in pl.) Occupation or pursuit (outdoor activities). 3 = *radioactivity.
Actor,"n. Person who acts in a play, film, etc. [latin: related to *act]"
Actress,n. Female actor.
Actual,adj. (usu. Attrib.) 1 existing in fact; real. 2 current. [latin: related to *act]
Actuality,n. (pl. -ies) 1 reality. 2 (in pl.) Existing conditions.
Actually,"adv. 1 as a fact, really (not actually very rich). 2 strange as it may seem (he actually refused!)."
Actuary,"n. (pl. -ies) statistician, esp. One calculating insurance risks and premiums."
Actuate,v. (-ting) 1 cause (a machine etc.) To move or function. 2 cause (a person) to act. [latin]
Acuity,"n. Sharpness, acuteness. [medieval latin: related to *acute]"
Acumen,"n. Keen insight or discernment. [latin, = *acute thing]"
Acupuncture,n. Medical treatment using needles in parts of the body.
Acute,"adj. (acuter, acutest) 1 serious, severe (acute hardship). 2 (of senses etc.) Keen, penetrating. 3 shrewd. 4 (of a disease) coming quickly to a crisis. 5 (of an angle) less than 90. 6 (of a sound) high, shrill. n. = *acute accent."
Acute accent,"n. Diacritical mark () placed over certain letters in french etc., esp. To show pronunciation."
-acy,"suffix forming nouns of state or quality (accuracy; piracy), or an instance of it (conspiracy; fallacy). [french -acie, latin -acia, -atia, greek -ateia]"
Ad,abbr. Of the christian era. [*anno domini]
Ad,n. Colloq. Advertisement. [abbreviation]
Ad-,"prefix (altered or assimilated before some letters) implying motion or direction to, reduction or change into, addition, adherence, increase, or intensification. [latin]"
Adage,"n. Traditional maxim, proverb. [french from latin]"
Adagio,mus. adv. & adj. In slow time. n. (pl. -s) such a movement or passage. [italian]
Adam,n. The first man.
Adamant,adj. Stubbornly resolute; unyielding.
Adam's apple,n. Projection of cartilage at the front of the neck.
Adapt,"v. 1 a (foll. By to) fit, adjust (one thing to another). B (foll. By to, for) make suitable for a purpose. C modify (esp. A text for broadcasting etc.). 2 (also refl., usu. Foll. By to) adjust to new conditions."
Adaptor,n. 1 device for making equipment compatible. 2 device for connecting several electrical plugs to one socket.
Add,v. 1 join (one thing to another) as an increase or supplement. 2 put together (numbers) to find their total. 3 say further.
Addendum,n. (pl. -da) 1 thing to be added. 2 material added at the end of a book.
Adder,"n. Small venomous snake, esp. The common viper. [old english, originally nadder]"
Addict,"n. 1 person addicted, esp. To a drug. 2 colloq. Devotee (film addict). [latin: related to *ad-, dico say]"
Addicted,adj. 1 (usu. Foll. By to) dependent on a drug etc. As a habit. 2 devoted to an interest.
Addictive,adj. Causing addiction.
Addition,n. 1 adding. 2 person or thing added.
Additional,"adj. Added, extra, supplementary."
Additive,"n. Substance added to improve another, esp. To colour, flavour, or preserve food. [latin: related to *add]"
Addle,"v. (-ling) 1 muddle, confuse. 2 (usu. As addled adj.) (of an egg) become rotten. [old english, = filth]"
Address,"n. 1 a place where a person lives or an organization is situated. B particulars of this, esp. For postal purposes. C computing location of an item of stored information. 2 discourse to an audience. v. 1 write postal directions on (an envelope etc.). 2 direct (remarks etc.). 3 speak or write to, esp. Formally. 4 direct one's attention to. 5 golf take aim at (the ball)."
Addressee,n. Person to whom a letter etc. Is addressed.
Adduce,v. (-cing) cite as an instance or as proof or evidence.
Adenoids,"n.pl. Area of enlarged lymphatic tissue between the nose and the throat, often hindering breathing in the young."
Adept,"adj. (foll. By at, in) skilful. n. Adept person. [latin adipiscor adept- attain]"
Adequate,"adj. Sufficient, satisfactory."
deux,adv. & adj. For or between two. [french]
Adhere,"v. (-ring) 1 (usu. Foll. By to) stick fast to a substance etc. 2 (foll. By to) behave according to (a rule, undertaking, etc.). 3 (foll. By to) give allegiance. [latin haereo stick]"
Adherent,"n. Supporter. adj. Sticking, adhering."
Adhesion,n. 1 adhering. 2 unnatural union of body tissues due to inflammation.
Adhesive,"adj. Sticky, causing adhesion. n. Adhesive substance."
Ad hoc,adv. & adj. For one particular occasion or use. [latin]
Adieu,"int. Goodbye. [french, = to god]"
Ad infinitum,adv. Without limit; for ever. [latin]
Adipose,adj. Of fat; fatty (adipose tissue).
Adjacent,adj. (often foll. By to) lying near; adjoining.
Adjective,n. Word used to describe or modify a noun or pronoun.
Adjoin,v. Be next to and joined with. [latin jungo join]
Adjourn,"v. 1 put off, postpone; break off (a meeting etc.) Temporarily. 2 (of a meeting) break and disperse or (foll. By to) transfer to another place (adjourned to the pub)."
Adjudge,v. (-ging) 1 pronounce judgement on (a matter). 2 pronounce or award judicially.
Adjudicate,"v. (-ting) 1 act as judge in a competition, court, etc. 2 adjudge."
Adjunct,"n. 1 (foll. By to, of) subordinate or incidental thing. 2 gram. Word or phrase used to explain or amplify the predicate, subject, etc. [latin: related to *adjoin]"
Adjure,v. (-ring) (usu. Foll. By to + infin.) Beg or command.
Adjust,v. 1 order or position; regulate; arrange. 2 (usu. Foll. By to) become or make suited; adapt. 3 harmonize (discrepancies). 4 assess (loss or damages).
Adjutant,"n. 1 a army officer assisting a superior in administrative duties. B assistant. 2 (in full adjutant bird) giant indian stork. [latin: related to *ad-, juvo jut- help]"
Ad lib,"v. (-bb-) improvise. adj. Improvised. adv. As one pleases, to any desired extent. [abbreviation of latin ad libitum according to pleasure]"
Admin,n. Colloq. Administration. [abbreviation]
Administer,"v. 1 manage (business affairs etc.). 2 a deliver or dispense, esp. Formally (a punishment, sacrament, etc.). B (usu. Foll. By to) direct the taking of (an oath). [latin: related to *ad-, *minister]"
Administrate,v. (-ting) administer (esp. Business affairs); act as an administrator.
Administration,"n. 1 administering, esp. Public affairs. 2 government in power."
Administrative,adj. Of the management of affairs.
Administrator,"n. Manager of a business, public affairs, or a person's estate."
Admirable,adj. Deserving admiration; excellent.
Admiral,"n. 1 a commander-in-chief of a navy. B high-ranking naval officer, commander. 2 any of various butterflies. [arabic: related to *amir]"
Admiralty,n. (pl. -ies) (in full admiralty board) hist. Committee superintending the royal navy.
Admiration,n. 1 respect; warm approval or pleasure. 2 object of this.
Admire,"v. (-ring) 1 regard with approval, respect, or satisfaction. 2 express admiration of."
Admissible,adj. 1 (of an idea etc.) Worth accepting or considering. 2 law allowable as evidence. [latin: related to *admit]
Admission,n. 1 acknowledgement (admission of error). 2 a process or right of entering. B charge for this (admission is 5).
Admit,"v. (-tt-) 1 (often foll. By to be, or that + clause) acknowledge; recognize as true. 2 (foll. By to) confess to (a deed, fault, etc.). 3 allow (a person) entrance, access, etc. 4 take (a patient) into hospital. 5 (of an enclosed space) accommodate. 6 (foll. By of) allow as possible. [latin mitto miss- send]"
Admittance,"n. Admitting or being admitted, usu. To a place."
Admittedly,adv. As must be admitted.
Admixture,"n. 1 thing added, esp. A minor ingredient. 2 adding of this."
Admonish,"v. 1 reprove. 2 urge, advise. 3 (foll. By of) warn."
Ad nauseam,"adv. Excessively; disgustingly. [latin, = to sickness]"
Ado,"n. Fuss, busy activity; trouble. [from *at, *do1: originally in much ado = much to do]"
Adobe,n. 1 sun-dried brick. 2 clay for making these. [spanish]
Adolescent,adj. Between childhood and adulthood. n. Adolescent person.
Adonis,"n. Handsome young man. [latin, name of a youth loved by venus]"
Adopt,"v. 1 legally take (a person) into a relationship, esp. Another's child as one's own. 2 choose (a course of action etc.). 3 take over (another's idea etc.). 4 choose as a candidate for office. 5 accept responsibility for the maintenance of (a road etc.). 6 accept or approve (a report, accounts, etc.)."
Adoptive,adj. Because of adoption (adoptive son). [latin: related to *adopt]
Adorable,"adj. 1 deserving adoration. 2 colloq. Delightful, charming."
Adore,v. (-ring) 1 love intensely. 2 worship as divine. 3 colloq. Like very much.
Adorn,v. Add beauty to; decorate.
Adrenal,"adj. 1 at or near the kidneys. 2 of the adrenal glands. n. (in full adrenal gland) either of two ductless glands above the kidneys, secreting adrenalin. [from *ad-, *renal]"
Adrenalin,n. (also adrenaline) 1 stimulative hormone secreted by the adrenal glands. 2 this extracted or synthesized for medicinal use.
Adrift,"adv. & predic.adj. 1 drifting. 2 powerless; aimless. 3 colloq. A unfastened. B out of order, wrong (plans went adrift)."
Adroit,"adj. Dexterous, skilful. [french"
Adsorb,"v. (usu. Of a solid) hold (molecules of a gas or liquid etc.) To its surface, forming a thin film."
Adulation,n. Obsequious flattery. [latin adulor fawn on]
Adult,"adj. 1 mature, grown-up. 2 (attrib.) Of or for adults (adult education). n. Adult person."
Adulterate,v. (-ting) debase (esp. Foods) by adding other substances.
Adulterer,n. (fem. Adulteress) person who commits adultery.
Adultery,n. Voluntary sexual intercourse between a married person and a person other than his or her spouse.
Adumbrate,v. (-ting) 1 indicate faintly or in outline. 2 foreshadow. 3 overshadow.
Advance,"v. (-cing) 1 move or put forward; progress. 2 pay or lend (money) beforehand. 3 promote (a person, cause, etc.). 4 present (a suggestion etc.). 5 (as advanced adj.) A well ahead. B socially progressive. n. 1 going forward; progress. 2 prepayment; loan. 3 (in pl.) Amorous approaches. 4 rise in price. attrib. Adj. Done or supplied beforehand (advance warning)."
Advanced level,n. High level of gce examination.
Advancement,"n. Promotion of a person, cause, or plan."
Advantage,"n. 1 beneficial feature. 2 benefit, profit. 3 (often foll. By over) superiority. 4 (in tennis) the next point after deuce. v. (-ging) benefit, favour."
Advent,n. 1 season before christmas. 2 coming of christ. 3 (advent) important arrival. [latin adventus from venio come]
Adventist,n. Member of a christian sect believing in the imminent second coming of christ.
Adventitious,"adj. 1 accidental, casual. 2 added from outside. 3 biol. Formed accidentally or under unusual conditions. [latin: related to *advent]"
Adventure,"n. 1 unusual and exciting experience. 2 enterprise (spirit of adventure). v. (-ring) dare, venture; engage in adventure. [latin: related to *advent]"
Adventure playground,"n. Playground with climbing-frames, building blocks, etc."
Adventurer,"n. (fem. Adventuress) 1 person who seeks adventure, esp. For personal gain or enjoyment. 2 financial speculator."
Adventurous,"adj. Venturesome, enterprising."
Adverb,"n. Word indicating manner, degree, circumstance, etc., used to modify an adjective, verb, or other adverb (e.g. Gently, quite, then)."
Adversary,"n. (pl. -ies) enemy, opponent."
Adverse,adj. Unfavourable; harmful.
Adversity,"n. Misfortune, distress."
Advert,n. Colloq. Advertisement. [abbreviation]
Advertise,"v. (-sing) 1 promote (goods or services) publicly to increase sales. 2 make generally known. 3 (often foll. By for) seek by a notice in a newspaper etc. To buy, employ, sell, etc. [french avertir: related to *adverse]"
Advertisement,"n. 1 public announcement, esp. Of goods etc. For sale or wanted, vacancies, etc. 2 advertising. [french avertissement: related to *adverse]"
Advice,n. 1 recommendation on how to act. 2 information given; news. 3 formal notice of a transaction.
Advisable,"adj. To be recommended, expedient."
Advise,"v. (-sing) 1 (also absol.) Give advice to. 2 recommend (advised me to rest). 3 (usu. Foll. By of, or that + clause) inform. [latin: related to *ad-, video vis- see]"
Advisedly,adv. After due consideration; deliberately.
